evidence_id,source_type,local_relative_path,sha256,captured_at_utc,sanitized_summary,ip_privacy_review,status
EV-0096,ui_dump,.reference-local/ui-dumps/EV-0096.xml,c2cf56b895363a7579def1c7bc5d28609a12cab1b9b2175f1f5287827f6dcdbe,2026-07-18T18:28:54.0118541Z,"raw UI dump capture",pass,captured
EV-0097,screenshot,.reference-local/screenshots/EV-0097.png,54639af7d4b647466e64088d82a2d8d9ae911f2c8534d706ea5d451107fb6ea1,2026-07-18T18:29:22.6976902Z,"raw screenshot capture",pass,captured
EV-0098,ui_dump,.reference-local/ui-dumps/EV-0098.xml,c2cf56b895363a7579def1c7bc5d28609a12cab1b9b2175f1f5287827f6dcdbe,2026-07-18T18:29:24.9270223Z,"raw UI dump capture",pass,captured
EV-0099,screenshot,.reference-local/screenshots/EV-0099.png,4359a17937343e7d0345ab022e904e1597a8be1b64e7cff62031e4f628912677,2026-07-18T18:29:26.8173432Z,"raw screenshot capture",pass,captured
EV-0100,ui_dump,.reference-local/ui-dumps/EV-0100.xml,9d13b8891bafb6db90119ac428ac47c9ad11683d9b14c64fe5352d9d654caae8,2026-07-18T18:29:29.2168591Z,"raw UI dump capture",pass,captured
EV-0101,screenshot,.reference-local/screenshots/EV-0101.png,b883a84948e412da924111de84a52a80ace3d50f7e3a845da3c108a060636d0b,2026-07-18T18:30:10.9994603Z,"raw screenshot capture",pass,captured
EV-0102,ui_dump,.reference-local/ui-dumps/EV-0102.xml,9d13b8891bafb6db90119ac428ac47c9ad11683d9b14c64fe5352d9d654caae8,2026-07-18T18:30:13.1118190Z,"raw UI dump capture",pass,captured
EV-0103,screenshot,.reference-local/screenshots/EV-0103.png,b883a84948e412da924111de84a52a80ace3d50f7e3a845da3c108a060636d0b,2026-07-18T18:30:46.7093296Z,"raw screenshot capture",pass,captured
EV-0104,ui_dump,.reference-local/ui-dumps/EV-0104.xml,9d13b8891bafb6db90119ac428ac47c9ad11683d9b14c64fe5352d9d654caae8,2026-07-18T18:30:48.8690733Z,"raw UI dump capture",pass,captured
EV-0105,screenshot,.reference-local/screenshots/EV-0105.png,49b5ffc345da36d3519d5cdd60208a979e1853c4c490ff2e207c27ae4316cfd8,2026-07-18T18:31:10.0248315Z,"raw screenshot capture",pass,captured
EV-0106,ui_dump,.reference-local/ui-dumps/EV-0106.xml,e55233eed3dcc1c9b772f48621b61c43b9163b859e4907f117bd89a6f7675892,2026-07-18T18:31:11.5670714Z,"raw UI dump capture",pass,captured
